"lng","lat","name","type","area_km2"
-0.603694481075878,51.5124936742755,"Salt Hill Pleasure Ground","Other Sports Facility",0.130287106210052
-0.428716043655981,51.5112964017717,"Lake Farm Country Park","Public Park Or Garden",0.246814403940899
-0.542215448214174,51.525416281372,"Langley Park","Public Park Or Garden",1.22705290507807
-0.542650992918256,51.5418586061609,"Black Park Country Park","Public Park Or Garden",2.08889500622267
0.736228926109002,51.5549864973021,"Garon Park","Other Sports Facility",0.190079290873754
0.738119190477615,51.5319168199126,"Southchurch Park","Public Park Or Garden",0.124755707253517
0.721412452704566,51.4560618918989,"St James Park","Public Park Or Garden",0.200104231655052
0.785893104462325,51.5230084085596,"Gunners Park","Public Park Or Garden",0.429479929328298
0.7065622012081,51.5532634528939,"Priory Park","Public Park Or Garden",0.178759713708423
0.720639360131437,51.5553805835607,"The Jones Memorial Recreation Ground","Playing Field",0.110661017143608
0.708269926553365,51.5639146472961,NA,"Other Sports Facility",0.100129609666923
0.678149787561884,51.5440156689306,"Chalkwell Park","Public Park Or Garden",0.102588023994251
0.664740233753041,51.5750718594907,"Cherry Orchard Jubilee Country Park","Public Park Or Garden",0.832121201258065
0.611146032914828,51.5228897554634,NA,"Other Sports Facility",0.116712423499518
0.621770171756493,51.5230326891168,"Canvey Heights Country Park","Public Park Or Garden",0.177210199981689
0.600391262048635,51.5983316295955,"Sweyne Park","Public Park Or Garden",0.237948182370157
0.595038228977399,51.5442610512804,"Hadleigh Castle","Public Park Or Garden",2.38561745259008
0.568890282949606,51.5323149661438,NA,"Other Sports Facility",0.280231181606874
0.540373284171596,51.5958790583746,"The Wick Country Park","Public Park Or Garden",0.187407305598701
0.504939782338266,51.5485720971943,"Wat Tyler Country Park","Public Park Or Garden",0.437554957554235
0.519783329671548,51.5700206383298,"The Eversley Leisure Centre","Other Sports Facility",0.115881659656423
0.557710242202064,51.5489709073588,"South Benfleet Playing Field","Playing Field",0.203805173156783
0.539983365198394,51.6184845753653,NA,"Playing Field",0.226785409222331
0.539860095026119,51.6185102399767,"Wickford Memorial Park","Public Park Or Garden",0.221614079051542
0.499162836641238,51.5759147704748,"Northlands Park","Public Park Or Garden",0.21282056870606
0.436345768218898,51.5453249038902,"Langdon Hills Country Park","Public Park Or Garden",1.70762198051878
0.456656427711411,51.5768530168397,"Gloucester Park","Public Park Or Garden",0.501282651059567
0.450691863852213,51.5771918559666,"Basildon Sporting Village","Other Sports Facility",0.248848210779402
0.456645839636917,51.595131199681,NA,"Playing Field",0.258598111240573
0.41519562071003,51.5062727747419,"Maple Park","Public Park Or Garden",0.453681139701623
0.346397013209665,51.4916091596431,"King George's Field","Other Sports Facility",0.228012716331654
0.362932688970031,51.4897204653381,"Chadwell Recreation Ground","Playing Field",0.181684992498106
0.355734723692241,51.5824713617768,"Thorndon Country Park South","Public Park Or Garden",0.158699404429428
0.402589259232987,51.6218562002501,NA,"Other Sports Facility",0.101467714818211
0.412053456195499,51.5779999366356,"Devonshire Park","Public Park Or Garden",0.160499861291301
0.318994297822914,51.5100820966718,"Mardyke Country Park","Public Park Or Garden",0.219923932074148
0.332133208966725,51.5896218987008,"Thorndon Country Park","Public Park Or Garden",2.24073808267125
0.318846472400393,51.6100421171758,"King Georges Playing Fields","Playing Field",0.195124066351095
0.319115038372564,51.6099657512872,NA,"Playing Field",0.183759488686341
-0.294960589975589,51.5252964995185,"Hanger Hill Park","Public Park Or Garden",0.132329200121345
-0.317425992116511,51.5271170533939,"Pitshanger Park","Public Park Or Garden",0.182822217326897
-0.238026109130638,51.520891786055,"Wormwood Scrubs Park","Public Park Or Garden",0.658325922547694
-0.368029644322824,51.5090593100935,"Southall Park","Public Park Or Garden",0.100829225024958
-0.308258813592648,51.5088166362908,"Walpole Park","Public Park Or Garden",0.129927100234887
-0.292817480515232,51.5100265327673,"Ealing Common","Public Park Or Garden",0.122451231759054
-0.277387422207326,51.5109299476688,NA,"Other Sports Facility",0.100501289699763
-0.201804187655948,51.5022848468603,"Holland Park","Public Park Or Garden",0.211507167466469
-0.237316269530686,51.4964635237268,"Ravenscourt Park","Public Park Or Garden",0.12506590760333
-0.289294463786197,51.4967429565096,"Gunnersbury Park","Public Park Or Garden",0.753956401196394
-0.317693569002942,51.4883339179284,"Boston Manor Park","Public Park Or Garden",0.127389118939461
-0.347551263961081,51.4898474523531,"Osterley Park","Public Park Or Garden",1.05103328079393
-0.344211273436201,51.5002940350248,"Warren Farm School Sports Centre","Other Sports Facility",0.239707142167307
-0.22635425130089,51.4732492099441,"Barn Elms School Sports Centre","Other Sports Facility",0.194821151403344
-0.233650106220673,51.4736196992788,"Barn Elms Playing Fields","Playing Field",0.13937414193199
